family,tip_label,image_dir,tree_species,fishbase_query,fishbase_resolved,note
halichoerine,Pseudocoris_yamashiroiF92,Pseudocoris_yamashiroi,Pseudocoris_yamashiroi,Pseudocoris yamashiroi,,
halichoerine,Suezichthys_arquatusF218,Suezichthys_arquatus,Suezichthys_arquatus,Suezichthys arquatus,,
halichoerine,Suezichthys_aylingiF356,Suezichthys_aylingi,Suezichthys_aylingi,Suezichthys aylingi,,
halichoerine,Suezichthys_devisiF210,Suezichthys_devisi,Suezichthys_devisi,Suezichthys devisi,,
hypsigenyinae,Achoerodus_viridisF992.0,Achoerodus_viridis,Achoerodus_viridis,Achoerodus viridis,,
hypsigenyinae,Bodianus_anthoidesF336,Bodianus_anthioides,Bodianus_anthioides,Bodianus anthioides,,CF-prefix tip aliased to named species
hypsigenyinae,Bodianus_leucosticticusF412,Bodianus_leucosticticus,Bodianus_leucosticticus,Bodianus leucosticticus,,
hypsigenyinae,Bodianus_axillarisF316,Bodianus_axillaris,Bodianus_axillaris,Bodianus axillaris,,
hypsigenyinae,Bodianus_mesothoraxF153,Bodianus_mesothorax,Bodianus_mesothorax,Bodianus mesothorax,,
hypsigenyinae,Bodianus_dianaF144,Bodianus_diana,Bodianus_diana,Bodianus diana,,
hypsigenyinae,Bodianus_dictynnaF331,Bodianus_dictynna,Bodianus_dictynna,Bodianus dictynna,,
hypsigenyinae,Bodianus_bilunulatusF277,Bodianus_bilunulatus,Bodianus_bilunulatus,Bodianus bilunulatus,,
hypsigenyinae,Bodianus_solatusF343,Bodianus_solatus,Bodianus_solatus,Bodianus solatus,,
hypsigenyinae,Bodianus_loxozonusF158,Bodianus_loxozonus,Bodianus_loxozonus,Bodianus loxozonus,,
hypsigenyinae,Bodianus_perditioF327,Bodianus_perditio,Bodianus_perditio,Bodianus perditio,,
hypsigenyinae,Bodianus_diplotaeniaF219,Bodianus_diplotaenia,Bodianus_diplotaenia,Bodianus diplotaenia,,
hypsigenyinae,Bodianus_rufus_F112,Bodianus_rufus,Bodianus_rufus,Bodianus rufus,,
hypsigenyinae,Bodianus_insularisF408,Bodianus_insularis,Bodianus_insularis,Bodianus insularis,,
hypsigenyinae,Bodianus_pulchellusF389,Bodianus_pulchellus,Bodianus_pulchellus,Bodianus pulchellus,,
hypsigenyinae,Bodianus_scrofaF113,Bodianus_scrofa,Bodianus_scrofa,Bodianus scrofa,,
